cliente_id,edad,genero,ubicacion,antiguedad_dias,segmento,ingreso_mensual
1,58,M,861.0,1295,Masivo,13900.0
2,65,M,467.0,1239,Masivo,16600.0
3,32,M,88.0,1397,Masivo,16700.0
4,24,M,770.0,344,Premium,95300.0
5,75,M,1216.0,956,Masivo,10300.0
6,55,F,748.0,857,Masivo,9200.0
7,19,M,1083.0,511,Alto,35900.0
8,32,M,687.0,958,Alto,30900.0
9,19,F,832.0,1529,Masivo,12400.0
10,63,M,167.0,1298,Masivo,10500.0
11,52,F,316.0,14,Medio,22000.0
12,46,F,1391.0,956,Masivo,11100.0
13,69,M,509.0,776,Masivo,14500.0
14,66,M,1414.0,566,Masivo,8300.0
15,62,F,1501.0,703,Masivo,11500.0
16,35,M,996.0,270,Medio,31000.0
17,79,M,1486.0,1751,Masivo,13700.0
18,24,F,1773.0,338,Alto,45300.0
19,24,F,217.0,764,Premium,60900.0
20,40,M,521.0,1368,Masivo,8900.0
21,69,M,648.0,1496,Masivo,14800.0
22,47,F,1514.0,231,Medio,28400.0
23,80,F,201.0,780,Masivo,10600.0
24,23,M,1752.0,805,Premium,76300.0
25,71,F,1571.0,961,Masivo,13000.0
26,74,F,1029.0,1242,Masivo,11800.0
27,54,M,398.0,871,Masivo,11500.0
28,22,M,864.0,743,Alto,35300.0
29,32,F,1758.0,485,Alto,59800.0
30,23,M,1184.0,1723,Masivo,10400.0
31,73,F,1820.0,578,Masivo,7600.0
32,35,M,796.0,1052,Masivo,14700.0
33,71,M,1364.0,1822,Masivo,11000.0
34,41,M,1497.0,1255,Masivo,14300.0
35,60,F,1409.0,1401,Masivo,8000.0
36,77,M,1435.0,649,Masivo,8900.0
37,22,F,1249.0,1258,Masivo,13400.0
38,28,M,1632.0,1496,Masivo,11500.0
39,33,F,1137.0,1521,Masivo,9500.0
40,42,F,1411.0,1137,Masivo,9500.0
41,77,M,952.0,1105,Masivo,10700.0
42,53,M,385.0,1427,Masivo,11700.0
43,38,F,1077.0,1708,Masivo,17900.0
44,67,F,1463.0,203,Masivo,6200.0
45,70,M,294.0,280,Masivo,11900.0
46,38,F,144.0,609,Masivo,12700.0
47,22,M,187.0,1350,Masivo,14400.0
48,78,M,403.0,1370,Masivo,13300.0
49,63,F,147.0,1172,Masivo,8800.0
