cliente_id,producto,fecha_contratacion
1,cuenta_nomina,2023-12-16
1,cuenta_ahorro,2022-05-11
2,cuenta_nomina,2023-07-19
3,cuenta_nomina,2024-12-28
3,tarjeta_credito,2024-03-26
4,cuenta_nomina,2024-04-13
4,inversion,2024-04-05
4,seguro_vida,2024-11-24
5,cuenta_nomina,2023-12-20
6,cuenta_nomina,2024-11-16
7,cuenta_nomina,2024-10-24
7,tarjeta_credito,2024-05-04
7,inversion,2023-11-04
7,prestamo_personal,2024-04-06
7,seguro_vida,2024-04-24
8,cuenta_nomina,2023-12-05
8,cuenta_ahorro,2023-04-11
8,tarjeta_credito,2023-07-22
8,inversion,2024-03-02
8,prestamo_personal,2024-06-24
8,seguro_vida,2023-01-08
9,cuenta_nomina,2022-01-30
9,cuenta_ahorro,2022-01-05
10,cuenta_nomina,2021-08-01
10,cuenta_ahorro,2022-12-26
11,cuenta_nomina,2024-12-22
12,cuenta_nomina,2023-12-25
12,cuenta_ahorro,2023-09-21
12,tarjeta_credito,2022-06-18
12,prestamo_personal,2022-05-26
13,cuenta_nomina,2022-12-26
14,cuenta_nomina,2023-09-04
14,tarjeta_credito,2023-11-29
15,cuenta_nomina,2023-07-20
15,cuenta_ahorro,2024-02-18
16,cuenta_nomina,2024-06-03
16,seguro_vida,2024-11-21
17,cuenta_nomina,2023-05-12
17,tarjeta_credito,2023-05-07
18,cuenta_nomina,2024-10-16
18,cuenta_ahorro,2024-09-28
18,tarjeta_credito,2024-04-07
18,inversion,2024-12-14
18,prestamo_personal,2024-03-14
19,cuenta_nomina,2023-09-01
19,cuenta_ahorro,2023-07-20
19,tarjeta_credito,2023-12-02
19,inversion,2024-10-01
19,prestamo_personal,2023-03-22
19,seguro_vida,2024-01-10
20,cuenta_nomina,2024-05-29
20,cuenta_ahorro,2023-06-25
20,tarjeta_credito,2022-10-21
21,cuenta_nomina,2023-04-18
21,cuenta_ahorro,2022-06-26
21,tarjeta_credito,2023-06-20
22,cuenta_nomina,2024-09-22
22,cuenta_ahorro,2024-09-09
23,cuenta_nomina,2024-05-07
24,cuenta_nomina,2024-03-19
24,cuenta_ahorro,2024-12-24
24,tarjeta_credito,2024-10-06
24,inversion,2024-03-21
24,prestamo_personal,2023-11-29
24,seguro_vida,2024-10-19
25,cuenta_nomina,2023-01-25
25,cuenta_ahorro,2024-11-26
26,cuenta_nomina,2024-07-15
27,cuenta_nomina,2023-05-05
27,tarjeta_credito,2023-06-05
27,prestamo_personal,2024-04-30
28,cuenta_nomina,2024-08-13
28,cuenta_ahorro,2023-02-22
28,tarjeta_credito,2023-09-09
28,inversion,2023-06-02
28,prestamo_personal,2024-01-17
28,seguro_vida,2023-06-11
29,cuenta_nomina,2023-11-09
29,cuenta_ahorro,2023-12-28
29,tarjeta_credito,2024-12-13
29,prestamo_personal,2024-09-13
30,cuenta_nomina,2023-12-01
30,prestamo_personal,2020-11-12
31,cuenta_nomina,2024-03-05
32,cuenta_nomina,2022-04-12
32,cuenta_ahorro,2023-08-20
33,cuenta_nomina,2020-07-19
33,prestamo_personal,2021-11-04
34,cuenta_nomina,2022-06-25
34,cuenta_ahorro,2022-05-20
35,cuenta_nomina,2023-06-05
36,cuenta_nomina,2024-09-20
36,cuenta_ahorro,2024-02-03
36,tarjeta_credito,2023-09-30
37,cuenta_nomina,2024-06-25
37,cuenta_ahorro,2023-04-30
37,tarjeta_credito,2024-11-10
37,seguro_vida,2023-04-30
38,cuenta_nomina,2023-11-24
38,tarjeta_credito,2023-05-19
39,cuenta_nomina,2024-03-09
39,cuenta_ahorro,2021-06-07
39,inversion,2024-03-07
40,cuenta_nomina,2024-12-03
40,cuenta_ahorro,2024-07-06
40,tarjeta_credito,2024-11-21
40,prestamo_personal,2024-01-23
41,cuenta_nomina,2023-02-08
41,cuenta_ahorro,2022-08-22
41,tarjeta_credito,2024-02-21
42,cuenta_nomina,2022-08-29
43,cuenta_nomina,2022-05-06
43,tarjeta_credito,2021-12-09
43,prestamo_personal,2021-08-07
44,tarjeta_credito,2024-10-27
45,cuenta_ahorro,2024-12-14
46,cuenta_nomina,2024-12-02
47,cuenta_nomina,2022-07-08
47,prestamo_personal,2023-07-18
48,cuenta_nomina,2023-08-12
49,cuenta_nomina,2021-11-15
49,cuenta_ahorro,2021-12-11
50,cuenta_nomina,2024-08-23
50,cuenta_ahorro,2024-03-26
50,tarjeta_credito,2023-08-07
51,cuenta_nomina,2024-07-11
51,tarjeta_credito,2022-01-28
52,cuenta_nomina,2020-07-26
52,cuenta_ahorro,2024-03-31
52,tarjeta_credito,2022-02-11
53,cuenta_ahorro,2024-11-25
53,tarjeta_credito,2024-08-07
53,inversion,2024-05-18
53,prestamo_personal,2024-11-28
53,seguro_vida,2024-05-09
54,cuenta_nomina,2021-08-03
54,tarjeta_credito,2021-08-30
55,cuenta_nomina,2023-06-09
55,cuenta_ahorro,2024-07-06
55,inversion,2023-09-05
56,cuenta_nomina,2024-04-13
56,cuenta_ahorro,2024-05-31
57,cuenta_nomina,2021-09-13
57,cuenta_ahorro,2020-10-25
57,tarjeta_credito,2024-01-25
57,prestamo_personal,2022-05-23
58,cuenta_nomina,2024-09-28
58,cuenta_ahorro,2024-12-04
58,inversion,2024-09-25
58,seguro_vida,2024-11-27
59,cuenta_nomina,2023-10-10
60,cuenta_nomina,2024-04-26
60,cuenta_ahorro,2023-08-10
61,cuenta_nomina,2021-06-24
62,cuenta_nomina,2024-12-19
62,seguro_vida,2022-07-09
63,cuenta_nomina,2024-06-07
63,cuenta_ahorro,2023-07-23
63,tarjeta_credito,2022-10-06
63,prestamo_personal,2022-04-04
65,cuenta_nomina,2024-03-15
65,tarjeta_credito,2022-12-05
66,cuenta_nomina,2023-07-19
66,cuenta_ahorro,2022-10-23
67,cuenta_nomina,2022-11-04
67,cuenta_ahorro,2024-09-19
67,tarjeta_credito,2024-04-22
67,prestamo_personal,2022-12-21
67,seguro_vida,2024-02-01
68,cuenta_nomina,2024-10-06
68,cuenta_ahorro,2024-09-12
68,tarjeta_credito,2024-10-06
68,inversion,2024-10-02
68,seguro_vida,2024-11-27
69,cuenta_nomina,2023-11-16
69,seguro_vida,2023-10-11
70,cuenta_nomina,2024-12-19
70,cuenta_ahorro,2022-10-24
71,cuenta_nomina,2024-11-24
71,cuenta_ahorro,2024-08-27
71,tarjeta_credito,2024-11-18
72,cuenta_nomina,2024-08-31
73,cuenta_nomina,2024-11-25
73,cuenta_ahorro,2023-08-08
73,prestamo_personal,2023-07-16
74,cuenta_nomina,2024-08-31
74,tarjeta_credito,2024-08-26
75,cuenta_nomina,2021-06-27
75,tarjeta_credito,2021-06-11
75,seguro_vida,2024-06-02
76,cuenta_nomina,2023-11-04
76,cuenta_ahorro,2023-08-04
77,cuenta_nomina,2024-06-03
77,tarjeta_credito,2024-03-07
78,cuenta_nomina,2024-12-27
78,cuenta_ahorro,2024-12-14
78,tarjeta_credito,2024-12-18
79,cuenta_nomina,2023-08-28
79,prestamo_personal,2023-10-21
80,cuenta_nomina,2024-03-17
80,prestamo_personal,2023-12-18
80,seguro_vida,2022-10-20
81,cuenta_nomina,2024-12-22
81,cuenta_ahorro,2024-12-25
82,cuenta_ahorro,2024-09-09
82,tarjeta_credito,2024-08-28
83,cuenta_nomina,2024-06-10
83,cuenta_ahorro,2024-01-04
83,tarjeta_credito,2023-01-25
83,prestamo_personal,2022-10-07
83,seguro_vida,2023-08-22
84,cuenta_nomina,2024-12-28
85,cuenta_nomina,2024-01-01
85,tarjeta_credito,2023-07-05
86,cuenta_nomina,2024-10-02
86,cuenta_ahorro,2024-09-08
86,tarjeta_credito,2024-07-26
87,cuenta_nomina,2024-08-26
87,cuenta_ahorro,2024-04-06
87,tarjeta_credito,2023-08-22
87,inversion,2023-11-15
87,prestamo_personal,2024-06-06
87,seguro_vida,2024-03-01
88,tarjeta_credito,2024-12-29
89,cuenta_nomina,2023-12-30
89,cuenta_ahorro,2024-11-04
90,cuenta_nomina,2022-11-07
91,cuenta_nomina,2023-05-06
92,cuenta_nomina,2022-10-27
92,prestamo_personal,2024-06-12
93,cuenta_nomina,2022-07-12
93,tarjeta_credito,2023-06-18
93,prestamo_personal,2024-11-05
94,cuenta_nomina,2024-10-15
94,cuenta_ahorro,2023-03-26
94,tarjeta_credito,2023-03-21
95,cuenta_nomina,2022-07-13
96,cuenta_nomina,2022-07-15
96,cuenta_ahorro,2021-12-02
97,cuenta_nomina,2024-03-14
98,cuenta_nomina,2023-12-25
98,cuenta_ahorro,2024-06-19
98,tarjeta_credito,2024-08-28
98,prestamo_personal,2024-04-14
98,seguro_vida,2022-07-29
99,cuenta_ahorro,2024-12-26
100,cuenta_nomina,2021-08-21
100,tarjeta_credito,2024-11-19
101,cuenta_nomina,2024-08-22
101,cuenta_ahorro,2023-10-31
101,prestamo_personal,2024-06-11
102,cuenta_nomina,2022-08-14
102,cuenta_ahorro,2022-08-16
102,tarjeta_credito,2024-10-13
103,tarjeta_credito,2024-12-22
104,cuenta_nomina,2023-05-06
105,cuenta_nomina,2023-12-05
105,cuenta_ahorro,2024-05-24
105,tarjeta_credito,2024-02-07
105,inversion,2023-12-26
105,prestamo_personal,2023-08-09
105,seguro_vida,2024-08-01
106,cuenta_nomina,2024-12-13
107,cuenta_nomina,2023-10-29
107,prestamo_personal,2023-10-19
108,cuenta_nomina,2022-11-18
108,cuenta_ahorro,2023-06-20
109,cuenta_nomina,2024-12-10
110,cuenta_nomina,2024-12-19
111,cuenta_nomina,2024-08-19
112,cuenta_nomina,2021-04-14
112,tarjeta_credito,2023-11-04
114,cuenta_nomina,2024-05-02
115,cuenta_nomina,2022-10-09
115,cuenta_ahorro,2024-02-03
116,cuenta_nomina,2023-01-11
116,cuenta_ahorro,2024-01-07
117,cuenta_nomina,2024-08-27
117,cuenta_ahorro,2023-09-02
117,tarjeta_credito,2023-07-24
117,inversion,2024-04-28
117,prestamo_personal,2023-09-07
117,seguro_vida,2024-02-24
118,cuenta_nomina,2024-01-26
118,prestamo_personal,2024-03-28
119,cuenta_nomina,2023-10-11
120,prestamo_personal,2024-11-18
121,cuenta_nomina,2022-03-06
121,cuenta_ahorro,2022-12-15
121,tarjeta_credito,2021-09-17
122,cuenta_nomina,2022-08-07
122,tarjeta_credito,2021-08-30
122,seguro_vida,2023-11-26
123,cuenta_nomina,2021-05-14
124,seguro_vida,2024-12-20
